5:6:18.492787 - debugger.py, 1 - Started
5:6:18.492787 - Brain.py, 2 - Started
5:6:18.495788 - cfg_parser.py, 3 - Started
5:6:18.496788 - Interface_Object.py, 4 - Started
5:6:18.496788 - Interface_Object.py, 5 - Initialising constants
5:6:18.497788 - Interface_Object.py, 6 - Constants initialised
5:6:18.497788 - Interface_Object.py, 7 - Interface objects initialising
5:6:18.507791 - Interface_Object.py, 8 - Button exit initialising
5:6:18.507791 - Interface_Object.py, 9 - Button exit initialised as dynamic
5:6:18.507791 - Interface_Object.py, 10 - Button exit initialised
5:6:18.508791 - Interface_Object.py, 11 - Button start_typing initialising
5:6:18.508791 - Interface_Object.py, 12 - Button start_typing initialised as dynamic
5:6:18.508791 - Interface_Object.py, 13 - Button start_typing initialised
5:6:18.509791 - Interface_Object.py, 14 - Button stop_typing initialising
5:6:18.509791 - Interface_Object.py, 15 - Button stop_typing initialised as dynamic
5:6:18.509791 - Interface_Object.py, 16 - Button stop_typing initialised
5:6:18.510791 - Interface_Object.py, 17 - Textbar cam_id_textbar initialising
5:6:18.510791 - Interface_Object.py, 18 - Interface objects initialised
5:6:18.510791 - Interface.py, 19 - Started
5:6:18.510791 - Interface.py, 20 - Initialising display
5:6:18.660826 - Interface.py, 21 - Display initialised
5:6:18.660826 - Interface.py, 22 - Main cycle iteration
5:6:18.677620 - Interface_Object.py, 23 - Button exit intersection check
5:6:18.677620 - Interface_Object.py, 24 - Button exit press check
5:6:18.677620 - Interface_Object.py, 25 - Button exit intersection check failed
5:6:18.677620 - Interface_Object.py, 26 - Button start_typing intersection check
5:6:18.677620 - Interface_Object.py, 27 - Button start_typing press check
5:6:18.677620 - Interface_Object.py, 28 - Button start_typing intersection check failed
5:6:18.677620 - Interface_Object.py, 29 - Button stop_typing intersection check
5:6:18.677620 - Interface_Object.py, 30 - Button stop_typing press check
5:6:18.677620 - Interface_Object.py, 31 - Button stop_typing intersection check failed
5:6:18.677620 - Interface_Object.py, 32 - Button exit intersection check
5:6:18.677620 - Interface_Object.py, 33 - Button exit press check
5:6:18.677620 - Interface_Object.py, 34 - Button exit intersection check failed
5:6:18.677620 - Interface_Object.py, 35 - Button start_typing intersection check
5:6:18.677620 - Interface_Object.py, 36 - Button start_typing press check
5:6:18.677620 - Interface_Object.py, 37 - Button start_typing intersection check failed
5:6:18.677620 - Interface_Object.py, 38 - Button stop_typing intersection check
5:6:18.677620 - Interface_Object.py, 39 - Button stop_typing press check
5:6:18.677620 - Interface_Object.py, 40 - Button stop_typing intersection check failed
5:6:18.677620 - Interface_Object.py, 41 - Button exit intersection check
5:6:18.677620 - Interface_Object.py, 42 - Button exit press check
5:6:18.677620 - Interface_Object.py, 43 - Button exit intersection check failed
5:6:18.677620 - Interface_Object.py, 44 - Button start_typing intersection check
5:6:18.677620 - Interface_Object.py, 45 - Button start_typing press check
5:6:18.677620 - Interface_Object.py, 46 - Button start_typing intersection check failed
5:6:18.677620 - Interface_Object.py, 47 - Button stop_typing intersection check
5:6:18.677620 - Interface_Object.py, 48 - Button stop_typing press check
5:6:18.677620 - Interface_Object.py, 49 - Button stop_typing intersection check failed
5:6:18.677620 - Interface_Object.py, 50 - Button exit intersection check
5:6:18.677620 - Interface_Object.py, 51 - Button exit press check
5:6:18.677620 - Interface_Object.py, 52 - Button exit intersection check failed
5:6:18.677620 - Interface_Object.py, 53 - Button start_typing intersection check
5:6:18.677620 - Interface_Object.py, 54 - Button start_typing press check
5:6:18.677620 - Interface_Object.py, 55 - Button start_typing intersection check failed
5:6:18.677620 - Interface_Object.py, 56 - Button stop_typing intersection check
5:6:18.677620 - Interface_Object.py, 57 - Button stop_typing press check
5:6:18.677620 - Interface_Object.py, 58 - Button stop_typing intersection check failed
5:6:18.677620 - Interface_Object.py, 59 - Button exit intersection check
5:6:18.677620 - Interface_Object.py, 60 - Button exit press check
5:6:18.677620 - Interface_Object.py, 61 - Button exit intersection check failed
5:6:18.678620 - Interface_Object.py, 62 - Button start_typing intersection check
5:6:18.678620 - Interface_Object.py, 63 - Button start_typing press check
5:6:18.678620 - Interface_Object.py, 64 - Button start_typing intersection check failed
5:6:18.678620 - Interface_Object.py, 65 - Button stop_typing intersection check
5:6:18.678620 - Interface_Object.py, 66 - Button stop_typing press check
5:6:18.678620 - Interface_Object.py, 67 - Button stop_typing intersection check failed
5:6:18.678620 - Interface_Object.py, 68 - Button exit intersection check
5:6:18.678620 - Interface_Object.py, 69 - Button exit press check
5:6:18.678620 - Interface_Object.py, 70 - Button exit intersection check failed
5:6:18.678620 - Interface_Object.py, 71 - Button start_typing intersection check
5:6:18.678620 - Interface_Object.py, 72 - Button start_typing press check
5:6:18.678620 - Interface_Object.py, 73 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 74 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 75 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 76 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 77 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 78 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 79 - Button exit press check
5:6:18.680620 - Interface_Object.py, 80 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 81 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 82 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 83 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 84 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 85 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 86 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 87 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 88 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 89 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 90 - Button exit press check
5:6:18.680620 - Interface_Object.py, 91 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 92 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 93 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 94 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 95 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 96 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 97 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 98 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 99 - Button exit press check
5:6:18.680620 - Interface_Object.py, 100 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 101 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 102 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 103 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 104 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 105 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 106 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 107 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 108 - Button exit press check
5:6:18.680620 - Interface_Object.py, 109 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 110 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 111 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 112 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 113 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 114 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 115 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 116 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 117 - Button exit press check
5:6:18.680620 - Interface_Object.py, 118 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 119 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 120 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 121 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 122 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 123 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 124 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 125 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 126 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 127 - Button exit press check
5:6:18.680620 - Interface_Object.py, 128 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 129 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 130 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 131 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 132 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 133 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 134 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 135 - Button stop_typing press check
